# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Lite Edition
# File: /home/srdejong/Cyclone-V-ADC-UART/DCB_Pins.csv
# Generated on: Fri Mar  2 09:09:10 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
AD_SCLK,Output,PIN_F12,7A,B7A_N0,,,,,,,,,,,,,,
AD_SDIO,Output,PIN_A21,7A,B7A_N0,,,,,,,,,,,,,,
ADA_DCO,Input,PIN_L8,8A,B8A_N0,,,,,,,,,,,,,,
ADA_OE,Output,PIN_C15,7A,B7A_N0,,,,,,,,,,,,,,
ADA_SPI_CS,Output,PIN_B22,7A,B7A_N0,,,,,,,,,,,,,,
ADB_DCO,Input,PIN_K9,8A,B8A_N0,,,,,,,,,,,,,,
ADB_OE,Output,PIN_G17,7A,B7A_N0,,,,,,,,,,,,,,
ADB_SPI_CS,Output,PIN_G12,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[13],Input,PIN_D11,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[12],Input,PIN_D12,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[11],Input,PIN_E10,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[10],Input,PIN_E11,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[9],Input,PIN_C9,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[8],Input,PIN_B9,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[7],Input,PIN_D10,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[6],Input,PIN_C10,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[5],Input,PIN_A12,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[4],Input,PIN_B11,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[3],Input,PIN_B10,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[2],Input,PIN_A11,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[1],Input,PIN_C20,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[0],Input,PIN_B19,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[13],Input,PIN_H14,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[12],Input,PIN_H13,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[11],Input,PIN_N12,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[10],Input,PIN_M12,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[9],Input,PIN_M11,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[8],Input,PIN_L11,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[7],Input,PIN_H18,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[6],Input,PIN_H17,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[5],Input,PIN_L12,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[4],Input,PIN_K11,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[3],Input,PIN_H15,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[2],Input,PIN_J16,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[1],Input,PIN_J12,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[0],Input,PIN_J11,7A,B7A_N0,,,,,,,,,,,,,,
CLOCK_50_B7A,Input,PIN_H12,7A,B7A_N0,,,,,,,,,,,,,,
counterReset,Input,PIN_P11,3B,B3B_N0,,,,,,,,,,,,,,
DAC_DA[13],Output,PIN_C13,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[12],Output,PIN_C12,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[11],Output,PIN_A8,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[10],Output,PIN_A9,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[9],Output,PIN_B12,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[8],Output,PIN_A13,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[7],Output,PIN_C23,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[6],Output,PIN_C22,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[5],Output,PIN_A14,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[4],Output,PIN_B14,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[3],Output,PIN_A23,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[2],Output,PIN_A22,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[1],Output,PIN_C17,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[0],Output,PIN_B17,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[13],Output,PIN_E18,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[12],Output,PIN_F18,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[11],Output,PIN_F16,7A,B7A_N0,,,,,,,,,,,,,,
