# Copyright (C) 2016  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 16.1.0 Build 196 10/24/2016 SJ Lite Edition
# File: /home/srdejong/Cyclone-V-ADC-UART/THDB_ADA_Pins.csv
# Generated on: Fri Feb 16 08:35:19 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
ADC_CLK_A,Output,PIN_A16,7A,B7A_N0,,,,,,,,,,,,,,
ADC_CLK_B,Output,PIN_A17,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[13],Input,PIN_E13,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[12],Input,PIN_D13,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[11],Input,PIN_C14,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[10],Input,PIN_D15,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[9],Input,PIN_E16,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[8],Input,PIN_D16,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[7],Input,PIN_D18,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[6],Input,PIN_D17,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[5],Input,PIN_E20,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[4],Input,PIN_E19,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[3],Input,PIN_D21,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[2],Input,PIN_D20,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[1],Input,PIN_B24,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DA[0],Input,PIN_A24,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[13],Input,PIN_B12,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[12],Input,PIN_A13,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[11],Input,PIN_C23,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[10],Input,PIN_C22,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[9],Input,PIN_A14,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[8],Input,PIN_B14,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[7],Input,PIN_A23,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[6],Input,PIN_A22,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[5],Input,PIN_C17,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[4],Input,PIN_B17,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[3],Input,PIN_C19,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[2],Input,PIN_C18,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[1],Input,PIN_B21,7A,B7A_N0,,,,,,,,,,,,,,
ADC_DB[0],Input,PIN_B20,7A,B7A_N0,,,,,,,,,,,,,,
ADC_OEB_A,Output,PIN_F16,7A,B7A_N0,,,,,,,,,,,,,,
ADC_OEB_B,Output,PIN_E15,7A,B7A_N0,,,,,,,,,,,,,,
CLOCK_50_B7A,Input,PIN_H12,7A,B7A_N0,,,,,,,,,,,,,,
counterReset,Input,PIN_P11,3B,B3B_N0,,,,,,,,,,,,,,
DAC_CLK_A,Output,PIN_A19,7A,B7A_N0,,,,,,,,,,,,,,
DAC_CLK_B,Output,PIN_A18,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[13],Output,PIN_C15,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[12],Output,PIN_B15,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[11],Output,PIN_B19,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[10],Output,PIN_C20,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[9],Output,PIN_A11,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[8],Output,PIN_B10,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[7],Output,PIN_B11,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[6],Output,PIN_A12,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[5],Output,PIN_C10,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[4],Output,PIN_D10,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[3],Output,PIN_B9,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[2],Output,PIN_C9,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[1],Output,PIN_E11,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DA[0],Output,PIN_E10,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[13],Output,PIN_G17,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[12],Output,PIN_G16,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[11],Output,PIN_J11,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[10],Output,PIN_J12,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[9],Output,PIN_J16,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[8],Output,PIN_H15,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[7],Output,PIN_K11,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[6],Output,PIN_L12,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[5],Output,PIN_H17,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[4],Output,PIN_H18,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[3],Output,PIN_L11,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[2],Output,PIN_M11,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[1],Output,PIN_M12,7A,B7A_N0,,,,,,,,,,,,,,
DAC_DB[0],Output,PIN_N12,7A,B7A_N0,,,,,,,,,,,,,,
DAC_MODE,Output,PIN_A21,7A,B7A_N0,,,,,,,,,,,,,,
DAC_WRT_A,Output,PIN_B22,7A,B7A_N0,,,,,,,,,,,,,,
DAC_WRT_B,Output,PIN_G12,7A,B7A_N0,,,,,,,,,,,,,,
delaySwitch,Input,PIN_AD13,4A,B4A_N0,,,,,,,,,,,,,,
hex0[6],Output,PIN_Y18,4A,B4A_N0,,,,,,,,,,,,,,
hex0[5],Output,PIN_Y19,4A,B4A_N0,,,,,,,,,,,,,,
hex0[4],Output,PIN_Y20,4A,B4A_N0,,,,,,,,,,,,,,
hex0[3],Output,PIN_W18,4A,B4A_N0,,,,,,,,,,,,,,
hex0[2],Output,PIN_V17,4A,B4A_N0,,,,,,,,,,,,,,
hex0[1],Output,PIN_V18,4A,B4A_N0,,,,,,,,,,,,,,
hex0[0],Output,PIN_V19,4A,B4A_N0,,,,,,,,,,,,,,
hex1[6],Output,PIN_AF24,4A,B4A_N0,,,,,,,,,,,,,,
hex1[5],Output,PIN_AC19,4A,B4A_N0,,,,,,,,,,,,,,
hex1[4],Output,PIN_AE25,4A,B4A_N0,,,,,,,,,,,,,,
hex1[3],Output,PIN_AE26,4A,B4A_N0,,,,,,,,,,,,,,
hex1[2],Output,PIN_AB19,4A,B4A_N0,,,,,,,,,,,,,,
hex1[1],Output,PIN_AD26,4A,B4A_N0,,,,,,,,,,,,,,
hex1[0],Output,PIN_AA18,4A,B4A_N0,,,,,,,,,,,,,,
hex2[6],Output,PIN_W20,5A,B5A_N0,,,,,,,,,,,,,,
hex2[5],Output,PIN_W21,5A,B5A_N0,,,,,,,,,,,,,,
hex2[4],Output,PIN_V20,5A,B5A_N0,,,,,,,,,,,,,,
hex2[3],Output,PIN_V22,5A,B5A_N0,,,,,,,,,,,,,,
hex2[2],Output,PIN_U20,5A,B5A_N0,,,,,,,,,,,,,,
hex2[1],Output,PIN_AD6,3A,B3A_N0,,,,,,,,,,,,,,
hex2[0],Output,PIN_AD7,3A,B3A_N0,,,,,,,,,,,,,,
hex3[6],Output,PIN_AC22,5A,B5A_N0,,,,,,,,,,,,,,
hex3[5],Output,PIN_AC23,5A,B5A_N0,,,,,,,,,,,,,,
hex3[4],Output,PIN_AC24,5A,B5A_N0,,,,,,,,,,,,,,
hex3[3],Output,PIN_AA22,5A,B5A_N0,,,,,,,,,,,,,,
hex3[2],Output,PIN_AA23,5A,B5A_N0,,,,,,,,,,,,,,
hex3[1],Output,PIN_Y23,5A,B5A_N0,,,,,,,,,,,,,,
hex3[0],Output,PIN_Y24,5A,B5A_N0,,,,,,,,,,,,,,
triggerSlopeSwitch,Input,PIN_AE10,4A,B4A_N0,,,,,,,,,,,,,,
triggerSwitch,Input,PIN_AC9,3B,B3B_N0,,,,,,,,,,,,,,
UART_RX,Input,PIN_M9,8A,B8A_N0,,,,,,,,,,,,,,
UART_TX,Output,PIN_L9,8A,B8A_N0,,,,,,,,,,,,,,
